PROBEID,GENENAME,SYMBOL
1367839_at,farnesyl diphosphate farnesyl transferase 1,Fdft1
1367932_at,3-hydroxy-3-methylglutaryl-CoA synthase 1,Hmgcs1
1367979_s_at,"cytochrome P450, family 51",Cyp51
1368020_at,mevalonate diphosphate decarboxylase,Mvd
1368189_at,7-dehydrocholesterol reductase,Dhcr7
1368275_at,methylsterol monooxygenase 1,Msmo1
1368878_at,isopentenyl-diphosphate delta isomerase 1,Idi1
1375944_at,acyl-CoA synthetase short-chain family member 2,Acss2
1380854_at,vascular endothelial growth factor B,Vegfb
1383664_a_at,transmembrane 7 superfamily member 2,Tm7sf2
1387017_at,squalene epoxidase,Sqle
1387020_at,"cytochrome P450, family 51",Cyp51
1387233_at,hydroxysteroid (17-beta) dehydrogenase 7,Hsd17b7
1388872_at,isopentenyl-diphosphate delta isomerase 1,Idi1
1389430_at,hydroxysteroid (17-beta) dehydrogenase 7,Hsd17b7
1389725_at,transmembrane 7 superfamily member 2,Tm7sf2
1389906_at,farnesyl diphosphate farnesyl transferase 1,Fdft1
1392604_at,NAD(P) dependent steroid dehydrogenase-like,Nsdhl
1392988_at,NAD(P) dependent steroid dehydrogenase-like,Nsdhl
