PROBEID,GENENAME,SYMBOL
1367570_at,transgelin,Tagln
1367574_at,vimentin,Vim
1367584_at,annexin A2,Anxa2
1367614_at,annexin A1,Anxa1
1367628_at,galectin 1,Lgals1
1367661_at,S100 calcium binding protein A6,S100a6
1367846_at,S100 calcium-binding protein A4,S100a4
1367899_at,coagulation factor II (thrombin) receptor,F2r
1367914_at,epithelial membrane protein 3,Emp3
1368187_at,glycoprotein nmb,Gpnmb
1368207_at,FXYD domain-containing ion transport regulator 5,Fxyd5
1368819_at,integrin subunit beta 1,Itgb1
1369009_at,serpin family H member 1,Serpinh1
1369313_at,four and a half LIM domains 2,Fhl2
1369736_at,epithelial membrane protein 1,Emp1
1370026_at,"crystallin, alpha B",Cryab
1370780_at,"RAB31, member RAS oncogene family",Rab31
1370857_at,"actin alpha 2, smooth muscle",Acta2
1371310_s_at,serpin family H member 1,Serpinh1
1371382_at,filamin A,Flna
1371527_at,epithelial membrane protein 1,Emp1
1371659_at,ras homolog family member C,Rhoc
1371951_at,four and a half LIM domains 2,Fhl2
1372032_at,"NRAS proto-oncogene, GTPase",Nras
1372459_at,vasodilator-stimulated phosphoprotein,Vasp
1372897_at,"procollagen lysine, 2-oxoglutarate 5-dioxygenase 2",Plod2
1373286_at,filamin binding LIM protein 1,Fblim1
1373592_at,serpin family B member 9,Serpinb9
1373595_at,transmembrane protein 43,Tmem43
1373672_at,serpin family B member 9,Serpinb9
1373894_at,"RAB31, member RAS oncogene family",Rab31
1374352_at,"actin alpha 2, smooth muscle",Acta2
1374353_x_at,"actin alpha 2, smooth muscle",Acta2
1374537_at,chondroitin sulfate synthase 1,Chsy1
1375633_at,chloride intracellular channel 1,Clic1
1376937_at,filamin A interacting protein 1-like,Filip1l
1380909_at,solute carrier family 25 member 24,Slc25a24
1381403_at,malic enzyme 2,Me2
1381861_x_at,"actin alpha 2, smooth muscle",Acta2
1386862_at,annexin A5,Anxa5
1386869_at,"actin gamma 2, smooth muscle",Actg2
1386879_at,galectin 3,Lgals3
1386890_at,S100 calcium binding protein A10,S100a10
1387001_at,RAS like proto-oncogene B,Ralb
1387346_at,integrin subunit beta 1,Itgb1
1387678_at,"NRAS proto-oncogene, GTPase",Nras
1388114_at,myosin light chain 12A,Myl12a
1388335_at,transgelin 2,Tagln2
1388673_at,lymphocyte-specific protein 1,Lsp1
1389413_at,ecotropic viral integration site 2A,Evi2a
1389520_at,WD repeat domain 1,Wdr1
1393475_at,malic enzyme 2,Me2
