PROBEID,GENENAME,SYMBOL
1367938_at,UDP-glucose 6-dehydrogenase,Ugdh
1368497_at,ATP binding cassette subfamily C member 2,Abcc2
1368960_at,galectin 8,Lgals8
1369161_at,ATP binding cassette subfamily B member 1A,Abcb1a
1369179_a_at,peroxisome proliferator-activated receptor gamma,Pparg
1370030_at,"glutamate cysteine ligase, modifier subunit",Gclm
1370464_at,ATP binding cassette subfamily B member 1A,Abcb1a
1370465_at,ATP binding cassette subfamily B member 1A,Abcb1a
1370583_s_at,ATP binding cassette subfamily B member 1A,Abcb1a
1370688_at,"glutamate-cysteine ligase, catalytic subunit",Gclc
1372523_at,"glutamate-cysteine ligase, catalytic subunit",Gclc
1372774_at,ectonucleoside triphosphate diphosphohydrolase 5,Entpd5
1375428_at,cellular repressor of E1A-stimulated genes 1,Creg1
1378622_at,cyclin-dependent kinase 6,Cdk6
1381968_at,cellular repressor of E1A-stimulated genes 1,Creg1
1382434_at,ectonucleoside triphosphate diphosphohydrolase 5,Entpd5
1382544_at,ectonucleoside triphosphate diphosphohydrolase 5,Entpd5
1389329_at,galectin 8,Lgals8
1390136_at,cyclin-dependent kinase 6,Cdk6
