PROBEID,GENENAME,SYMBOL
1367576_at,glutathione peroxidase 1,Gpx1
1369136_at,"cytochrome P450, family 2, subfamily a, polypeptide 1",Cyp2a1
1369275_s_at,"cytochrome P450, family 2, subfamily a, polypeptide 1",Cyp2a1
1369424_at,"cytochrome P450, family 2, subfamily a, polypeptide 1",Cyp2a1
1369493_at,prolactin receptor,Prlr
1369509_a_at,alpha-1-B glycoprotein,A1bg
1370384_a_at,prolactin receptor,Prlr
1370420_at,steroid 5 alpha-reductase 1,Srd5a1
1370789_a_at,prolactin receptor,Prlr
1387006_at,"sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 6",Sult2a6
1387511_at,"cytochrome P450, family 2, subfamily a, polypeptide 1",Cyp2a1
1387936_at,"sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 6",Sult2a6
